Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:56 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:57 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:58 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:52:59 PST 2015; Duration=9557ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:54 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:55 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:56 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:57 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:59 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 17:56:58 PST 2015; Duration=8087ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:45:27 PST 2015; Duration=6516ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:49:47 PST 2015; Duration=1407ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:49:47 PST 2015; Duration=1407ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:51:35 PST 2015; Duration=1144ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:53:05 PST 2015; Duration=1298ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
Mon Mar 02 21:58:10 PST 2015; Duration=1161ms; Number of Reads=7; Number of Writes=0; Number of Updates=0
