2015/03/01 01:54:16 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Loading user properties from: /vagrant/apache-jmeter-2.12/bin/user.properties 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Loading system properties from: /vagrant/apache-jmeter-2.12/bin/system.properties 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Version 2.12 r1636949 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: java.version=1.7.0_75 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: os.name=Linux 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: os.arch=amd64 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: os.version=2.6.32-504.el6.x86_64 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: JMeterHome=/vagrant/apache-jmeter-2.12 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: user.dir  =/vagrant/apache-jmeter-2.12/bin 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: PWD       =/vagrant/apache-jmeter-2.12/bin 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: IP: 127.0.0.1 Name: localhost.localdomain FullName: localhost 
2015/03/01 01:54:17 INFO  - jmeter.services.FileServer: Default base='/vagrant/apache-jmeter-2.12/bin' 
2015/03/01 01:54:17 INFO  - jmeter.services.FileServer: Set new base='/vagrant/apache-jmeter-2.12/bin' 
2015/03/01 01:54:17 INFO  - jmeter.JMeter: Loading file: TestPlan1.jmx 
2015/03/01 01:54:18 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/03/01 01:54:18 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/03/01 01:54:18 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.7 
2015/03/01 01:54:18 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1618048 
2015/03/01 01:54:18 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/03/01 01:54:18 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/03/01 01:54:18 INFO  - jmeter.JMeter: Creating summariser <summary> 
