IP= 192.168.50.5; Date=Fri Mar 06 17:16:31 GMT-800 2015; Duration=1137ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:34 GMT-800 2015; Duration=141ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:37 GMT-800 2015; Duration=147ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:40 GMT-800 2015; Duration=136ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:42 GMT-800 2015; Duration=140ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:46 GMT-800 2015; Duration=150ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:49 GMT-800 2015; Duration=133ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:52 GMT-800 2015; Duration=149ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:16:55 GMT-800 2015; Duration=174ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:00 GMT-800 2015; Duration=149ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:04 GMT-800 2015; Duration=163ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:07 GMT-800 2015; Duration=141ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:11 GMT-800 2015; Duration=144ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:14 GMT-800 2015; Duration=155ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:17 GMT-800 2015; Duration=132ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:21 GMT-800 2015; Duration=155ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:25 GMT-800 2015; Duration=154ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:27 GMT-800 2015; Duration=147ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:30 GMT-800 2015; Duration=139ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:33 GMT-800 2015; Duration=155ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:36 GMT-800 2015; Duration=139ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:40 GMT-800 2015; Duration=153ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
